ID                  ,Part                ,SubID               ,Position            ,IsViewPoint         ,GimbalAngles        ,DroneAngles         ,ActionID            ,ActionParameter     
61,Blade #3,14,[ 4.4599806  51.61297859 87.77457058],True,[300. 180. 180.],[-5.008957e-06  1.800000e+02  2.192313e+02],None,None
62,None,0,[ 4.45998146 51.61301928 85.92253049],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  2.485090e+02],None,None
63,None,0,[ 4.45997887 51.61304391 84.77370203],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  2.642313e+02],None,None
64,None,0,[ 4.4599773  51.61306165 82.19034387],False,[0. 0. 0.],[-5.008956e-06  1.800000e+02  2.799537e+02],None,None
65,Blade #3,15,[ 4.45998743 51.61307188 79.30019506],True,[0. 0. 0.],[-5.008956e-06  1.800000e+02  3.092314e+02],Take_photo_interval,2.7596707474674442
66,Blade #3,21,[ 4.45974423 51.61321404 95.71995879],True,[0. 0. 0.],[-5.008956e-06  1.800000e+02  3.092314e+02],None,None
67,None,0,[ 4.4597124  51.61321387 93.86171518],False,[0. 0. 0.],[-5.008956e-06  1.800000e+02  2.921451e+02],None,None
68,None,0,[ 4.45967289 51.61320376 92.76251016],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  2.737028e+02],None,None
69,Blade #3,22,[ 4.4595956  51.61318069 91.06080268],True,[30.  0.  0.],[-5.008957e-06  1.800000e+02  2.192313e+02],Take_photo_interval,2.732022161199713
70,Blade #3,28,[ 4.45987479 51.61301518 74.66868608],True,[30.  0.  0.],[-5.008957e-06  1.800000e+02  2.192313e+02],None,None
71,None,0,[ 4.45989328 51.61301495 76.46088447],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  2.297155e+02],None,None
72,None,0,[ 4.45990241 51.61302153 76.555624  ],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  2.408295e+02],None,None
73,None,0,[ 4.4599147  51.61302923 76.68863354],False,[0. 0. 0.],[-5.008956e-06  1.800000e+02  2.524071e+02],None,None
74,None,0,[ 4.45993561 51.61304276 77.34505332],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  2.642313e+02],None,None
75,None,0,[ 4.45996715 51.61305827 80.61781369],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  2.760555e+02],None,None
76,None,0,[ 4.45998528 51.61303737 85.37975143],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  2.876332e+02],None,None
77,Nacelle,1,[ 4.4600124  51.61300943 88.41276014],True,[270.   0.   0.],[-5.008956e-06  1.800000e+02  3.092314e+02],Take_photo,None
78,None,0,[ 4.46005543 51.61298728 85.3286213 ],False,[0. 0. 0.],[-5.008956e-06  1.800000e+02  3.385090e+02],None,None
79,None,0,[ 4.46008252 51.61298171 83.52843286],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  3.542314e+02],None,None
80,None,0,[ 4.46010014 51.61297334 81.15672443],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  9.953741e+00],None,None
81,Nacelle,2,[ 4.46010945 51.61296023 78.971006  ],True,[0. 0. 0.],[-5.008957e-06  1.800000e+02  3.923135e+01],Take_photo,None
82,None,0,[ 4.46012864 51.61300181 78.87392618],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  1.436392e+01],None,None
83,None,0,[ 4.46014084 51.6130262  78.89598807],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  1.004221e+00],None,None
84,Nacelle,3,[ 4.460131   51.61309963 78.97101602],True,[0. 0. 0.],[-5.008956e-06  1.800000e+02  3.092314e+02],Take_photo,None
85,None,0,[ 4.4600203  51.61308479 78.88895711],False,[0. 0. 0.],[-5.008957e-06  1.800000e+02  2.710042e+02],None,None
86,Nacelle,4,[ 4.4599154  51.61305975 78.81383613],True,[0. 0. 0.],[-5.008957e-06  1.800000e+02  2.192313e+02],Take_photo,None
